Epoch,Data Loss,PSO Loss,Initial Loss,ISO Loss,Weighted Total Loss,K2,Kf,N,Qe_min,Qe_max,Qe_mean,Clamp_hits,Total Loss
1,0.554902970790863,0.00011240099411224946,1.5245774984359741,0.21080972254276276,154.92933654785156,0.049587346613407135,0.3132616877555847,0.5249999761581421,0.4018014371395111,2.3274779319763184,1.384687900543213,0,2.290402592763712
2,0.37799936532974243,4.079243808519095e-05,1.2839611768722534,0.16386546194553375,114.28948211669922,0.0493507906794548,0.3119194507598877,0.523812472820282,0.4014366567134857,2.3107151985168457,1.377693772315979,0,1.8258667965856148
3,0.2676197588443756,2.2438325686380267e-05,1.129138708114624,0.12881462275981903,88.72195434570312,0.049141399562358856,0.3106270134449005,0.5226545929908752,0.40108031034469604,2.2945094108581543,1.37091064453125,0,1.525595528044505
4,0.20153112709522247,3.238858698750846e-05,1.0150344371795654,0.10920090228319168,72.67544555664062,0.04895558953285217,0.30939826369285583,0.521536648273468,0.4007364511489868,2.2790162563323975,1.3644068241119385,0,1.325798855144967
5,0.17239318788051605,7.050321437418461e-05,0.9104285836219788,0.1042717769742012,63.730018615722656,0.04877479001879692,0.30826109647750854,0.5204771757125854,0.40041348338127136,2.264533519744873,1.3583133220672607,0,1.1871640516910702
6,0.16570374369621277,0.00013648129242938012,0.7948595881462097,0.11140621453523636,58.53814697265625,0.048579879105091095,0.3072688579559326,0.5195077061653137,0.4001268148422241,2.251603126525879,1.3528693914413452,0,1.0721060276700882
7,0.1643858253955841,0.000219508889131248,0.667797327041626,0.12650436162948608,53.974609375,0.04837542772293091,0.3065034747123718,0.5186761021614075,0.39990025758743286,2.2410521507263184,1.3484398126602173,0,0.9589070229558274
8,0.15986551344394684,0.0003098874003626406,0.5435870289802551,0.14541414380073547,48.964962005615234,0.04816993325948715,0.30604636669158936,0.5180354714393616,0.39975833892822266,2.233738899230957,1.3454036712646484,0,0.8491765736253001
9,0.15078780055046082,0.00040499973692931235,0.436603307723999,0.1646268218755722,43.74033737182617,0.04796328768134117,0.30592846870422363,0.5176238417625427,0.39971163868904114,2.230107307434082,1.3439544439315796,0,0.7524229298869614
10,0.13880230486392975,0.0005059350514784455,0.3541102707386017,0.18143348395824432,38.83024978637695,0.047753918915987015,0.30611899495124817,0.5174484848976135,0.399753212928772,2.2300143241882324,1.344023585319519,0,0.6748519946122542
11,0.12660503387451172,0.0006134094437584281,0.2959498167037964,0.1941065490245819,34.700618743896484,0.047540996223688126,0.3065592646598816,0.5174897909164429,0.39986705780029297,2.2329635620117188,1.3453900814056396,0,0.6172748090466484
12,0.11658842116594315,0.0007269479683600366,0.2573476731777191,0.2019595354795456,31.60948944091797,0.047324202954769135,0.30719202756881714,0.5177149176597595,0.40003660321235657,2.2383785247802734,1.3478002548217773,0,0.5766225777915679
13,0.10965315997600555,0.0008467034203931689,0.23189298808574677,0.20531690120697021,29.497203826904297,0.047103505581617355,0.3079714775085449,0.5180887579917908,0.4002479612827301,2.245737314224243,1.3510271310806274,0,0.5477097526891157
14,0.10491301119327545,0.0009749538148753345,0.21356450021266937,0.20524248480796814,28.00201416015625,0.046878986060619354,0.3088630437850952,0.5185801386833191,0.4004904329776764,2.254615545272827,1.354886531829834,0,0.5246949500287883
15,0.10069374740123749,0.001115618390031159,0.19804447889328003,0.20293106138706207,26.68099594116211,0.04665082320570946,0.30984070897102356,0.5191630721092224,0.40075576305389404,2.264676094055176,1.3592326641082764,0,0.5027849060716107
16,0.09590031951665878,0.0012730126036331058,0.183199942111969,0.19916462898254395,25.268644332885742,0.04641924053430557,0.310884952545166,0.519817054271698,0.4010378122329712,2.27565860748291,1.3639535903930664,0,0.47953790321480483
