Epoch,Data Loss,PSO Loss,Initial Loss,ISO Loss,Weighted Total Loss,K2,Kf,N,Qe_min,Qe_max,Qe_mean,Clamp_hits,Total Loss
1,0.5549029111862183,0.00011240102321607992,1.5245776176452637,0.21080969274044037,154.92933654785156,0.049587350338697433,0.3132616877555847,0.5249999761581421,0.4018014371395111,2.3274779319763184,1.3846880197525024,0,2.2904026225951384
2,0.3779994547367096,4.0792434447212145e-05,1.2839610576629639,0.16386544704437256,114.28949737548828,0.0493507906794548,0.3119194507598877,0.523812472820282,0.4014366567134857,2.3107151985168457,1.3776938915252686,0,1.8258667518784932
3,0.2676197588443756,2.2438325686380267e-05,1.129138708114624,0.12881462275981903,88.72195434570312,0.049141399562358856,0.3106270134449005,0.5226545929908752,0.40108031034469604,2.2945094108581543,1.3709105253219604,0,1.525595528044505
4,0.2015310674905777,3.2388583349529654e-05,1.0150344371795654,0.10920090228319168,72.6754379272461,0.048955585807561874,0.30939826369285583,0.521536648273468,0.4007364511489868,2.2790162563323975,1.3644070625305176,0,1.3257987955366843
5,0.17239317297935486,7.050321437418461e-05,0.9104287028312683,0.1042717769742012,63.73002243041992,0.04877479001879692,0.30826109647750854,0.5204771757125854,0.40041348338127136,2.264533519744873,1.3583133220672607,0,1.1871641559991986
6,0.16570372879505157,0.00013648129242938012,0.7948596477508545,0.11140621453523636,58.53814697265625,0.048579879105091095,0.3072688579559326,0.5195077061653137,0.4001268148422241,2.251603126525879,1.3528692722320557,0,1.0721060723735718
7,0.1643858104944229,0.000219508889131248,0.6677973866462708,0.12650437653064728,53.974605560302734,0.04837542772293091,0.3065034747123718,0.5186761021614075,0.39990025758743286,2.2410521507263184,1.3484398126602173,0,0.9589070825604722
8,0.15986551344394684,0.0003098874294664711,0.5435870289802551,0.14541415870189667,48.964962005615234,0.04816993325948715,0.30604636669158936,0.5180354714393616,0.39975833892822266,2.233738899230957,1.3454036712646484,0,0.8491765885555651
9,0.15078778564929962,0.00040499967872165143,0.436603307723999,0.1646268367767334,43.740333557128906,0.04796328768134117,0.30592846870422363,0.5176238417625427,0.39971163868904114,2.230107307434082,1.3439544439315796,0,0.7524229298287537
10,0.13880227506160736,0.0005059350514784455,0.3541102409362793,0.1814335137605667,38.83024215698242,0.047753918915987015,0.30611899495124817,0.5174484848976135,0.399753212928772,2.2300143241882324,1.344023585319519,0,0.6748519648099318
11,0.12660500407218933,0.0006134094437584281,0.295949786901474,0.1941065937280655,34.70061111450195,0.047540996223688126,0.3065592646598816,0.5174897909164429,0.39986705780029297,2.2329635620117188,1.3453900814056396,0,0.6172747941454872
12,0.11658842861652374,0.0007269479683600366,0.2573476731777191,0.20195956528186798,31.60948944091797,0.047324202954769135,0.30719202756881714,0.5177149176597595,0.40003660321235657,2.2383785247802734,1.347800374031067,0,0.5766226150444709
13,0.10965313017368317,0.0008467034203931689,0.23189298808574677,0.20531687140464783,29.49720001220703,0.047103505581617355,0.3079714775085449,0.5180887579917908,0.4002479612827301,2.245737314224243,1.3510271310806274,0,0.5477096930844709
14,0.10491299629211426,0.0009749538148753345,0.21356453001499176,0.20524245500564575,28.002010345458984,0.046878986060619354,0.3088630437850952,0.5185801386833191,0.4004904329776764,2.254615545272827,1.3548864126205444,0,0.5246949351276271
15,0.1006937250494957,0.0011156185064464808,0.19804450869560242,0.20293104648590088,26.680992126464844,0.04665082320570946,0.30984070897102356,0.5191630721092224,0.40075576305389404,2.264676094055176,1.3592326641082764,0,0.5027848987374455
16,0.09590030461549759,0.0012730127200484276,0.18319997191429138,0.19916461408138275,25.26864242553711,0.04641924053430557,0.310884952545166,0.519817054271698,0.4010378122329712,2.27565860748291,1.3639534711837769,0,0.47953790333122015
17,0.09050063043832779,0.0014510242035612464,0.16867443919181824,0.19428201019763947,23.749427795410156,0.0461844764649868,0.3119807541370392,0.5205260515213013,0.40133166313171387,2.2873620986938477,1.3689626455307007,0,0.45490810403134674
18,0.08505066484212875,0.0016523784724995494,0.15509401261806488,0.18848896026611328,22.24697494506836,0.04594675451517105,0.31311631202697754,0.5212768912315369,0.401633620262146,2.299623489379883,1.374189853668213,0,0.43028601619880646
19,0.08002261817455292,0.0018777522491291165,0.1433304250240326,0.18214276432991028,20.879655838012695,0.04570626839995384,0.31428155303001404,0.5220587253570557,0.40194058418273926,2.3123061656951904,1.3795769214630127,0,0.4073735597776249
20,0.07553238421678543,0.0021251568105071783,0.13395550847053528,0.17586639523506165,19.693326950073242,0.04546318203210831,0.31546750664711,0.5228614211082458,0.402249813079834,2.325284481048584,1.385070562362671,0,0.38747944473288953
21,0.0715000256896019,0.002390195382758975,0.12694217264652252,0.17047372460365295,18.679161071777344,0.045217614620923996,0.3166657090187073,0.5236755013465881,0.40255895256996155,2.3384389877319336,1.3906207084655762,0,0.37130611832253635
22,0.06789734959602356,0.002666940912604332,0.12167950719594955,0.1667240411043167,17.81676483154297,0.04496965929865837,0.3178684413433075,0.5244921445846558,0.40286576747894287,2.3516595363616943,1.3961819410324097,0,0.35896783880889416
23,0.06480225175619125,0.0029484527185559273,0.11727283895015717,0.16500920057296753,17.091976165771484,0.044719379395246506,0.3190689980983734,0.5253036618232727,0.40316852927207947,2.364849090576172,1.4017146825790405,0,0.3500327439978719
24,0.06229851394891739,0.003226494649425149,0.11296792328357697,0.16512814164161682,16.49186134338379,0.04446684941649437,0.32026225328445435,0.5261038541793823,0.40346598625183105,2.3779306411743164,1.4071877002716064,0,0.3436210735235363
25,0.060389112681150436,0.0034907767549157143,0.10848125070333481,0.1662553995847702,16.000417709350586,0.04421212524175644,0.3214445114135742,0.5268880128860474,0.4037572145462036,2.39084529876709,1.4125781059265137,0,0.33861653972417116
26,0.05894508957862854,0.0037286814767867327,0.10404710471630096,0.16714388132095337,15.592643737792969,0.04395528882741928,0.3226132392883301,0.5276526212692261,0.4040416181087494,2.4035513401031494,1.4178695678710938,0,0.3338647570926696
27,0.05766614153981209,0.003926560748368502,0.1001533716917038,0.16654112935066223,15.221529006958008,0.043696481734514236,0.3237656354904175,0.5283938050270081,0.40431877970695496,2.4160008430480957,1.4230440855026245,0,0.3282872033305466
28,0.056174930185079575,0.004073131363838911,0.0971563383936882,0.16367942094802856,14.825468063354492,0.04343588277697563,0.3248973786830902,0.5291063189506531,0.40458765625953674,2.4281270503997803,1.4280760288238525,0,0.32108382089063525
29,0.054272424429655075,0.004163279198110104,0.09504138678312302,0.15856856107711792,14.368196487426758,0.043173763900995255,0.32600167393684387,0.5297822952270508,0.40484678745269775,2.439828634262085,1.4329257011413574,0,0.3120456514880061
30,0.05208653584122658,0.0041997418738901615,0.09344886988401413,0.1518954634666443,13.865650177001953,0.042910486459732056,0.3270692527294159,0.5304116010665894,0.405094176530838,2.4509711265563965,1.4375410079956055,0,0.30163061106577516
31,0.0499524250626564,0.004191798623651266,0.09188088029623032,0.14463992416858673,13.368578910827637,0.042646490037441254,0.32808905839920044,0.530982494354248,0.40532729029655457,2.461397647857666,1.4418607950210571,0,0.2906650281511247
32,0.048185788094997406,0.004152180161327124,0.08995089679956436,0.13769224286079407,12.927412986755371,0.042382288724184036,0.3290494382381439,0.5314834117889404,0.40554386377334595,2.470947504043579,1.445823073387146,0,0.27998110791668296
33,0.04690869525074959,0.004093688912689686,0.08754755556583405,0.1316603571176529,12.565106391906738,0.04211842268705368,0.3299393355846405,0.5319037437438965,0.40574154257774353,2.4794716835021973,1.449370265007019,0,0.2702102968469262
34,0.04596232622861862,0.004026840906590223,0.0848177894949913,0.12686589360237122,12.260795593261719,0.041855402290821075,0.3307488262653351,0.5322344899177551,0.40591832995414734,2.4868392944335938,1.452452301979065,0,0.26167285023257136
35,0.044982198625802994,0.003959031775593758,0.08199559152126312,0.12342488020658493,11.957999229431152,0.041593726724386215,0.3314691185951233,0.5324686169624329,0.406072735786438,2.4929418563842773,1.4550278186798096,0,0.2543617021292448
36,0.04365197941660881,0.003894731868058443,0.07921823114156723,0.12132158130407333,11.604461669921875,0.04133380949497223,0.3320924937725067,0.5326001048088074,0.40620356798171997,2.497684955596924,1.4570611715316772,0,0.24808652373030782
37,0.04192536324262619,0.003835823852568865,0.07646297663450241,0.12043856084346771,11.19011402130127,0.04107600823044777,0.33261194825172424,0.5326244235038757,0.406309574842453,2.5009913444519043,1.4585219621658325,0,0.24266272457316518
38,0.04001367837190628,0.0037812506780028343,0.07362819463014603,0.12055091559886932,10.747636795043945,0.040820591151714325,0.3330216407775879,0.5325382351875305,0.40639016032218933,2.5027997493743896,1.4593870639801025,0,0.23797403927892447
39,0.0382036454975605,0.0037264255806803703,0.07068589329719543,0.12132105976343155,10.324957847595215,0.0405677929520607,0.3333173394203186,0.5323404669761658,0.40644481778144836,2.5030765533447266,1.459642767906189,0,0.23393702413886786
40,0.036665838211774826,0.0036635471042245626,0.06778605282306671,0.12232719361782074,9.954644203186035,0.040317799896001816,0.33349743485450745,0.5320323705673218,0.40647372603416443,2.5018234252929688,1.4592888355255127,0,0.23044263175688684
41,0.03534356877207756,0.0035839213524013758,0.06521689146757126,0.1231343150138855,9.63309097290039,0.0400707945227623,0.33356305956840515,0.5316179394721985,0.4064772427082062,2.4990787506103516,1.4583393335342407,0,0.2272786966059357
42,0.03401568904519081,0.003481866791844368,0.06321830302476883,0.12338874489068985,9.326056480407715,0.03982701152563095,0.3335180878639221,0.5311037302017212,0.40645602345466614,2.4949185848236084,1.4568228721618652,0,0.22410460375249386
43,0.03252687305212021,0.0033578830771148205,0.06178300827741623,0.12289648503065109,9.003771781921387,0.039586734026670456,0.33336877822875977,0.5304976105690002,0.4064113199710846,2.489443302154541,1.4547770023345947,0,0.22056424943730235
44,0.030916796997189522,0.003218570724129677,0.060631126165390015,0.12165245413780212,8.663551330566406,0.039350301027297974,0.3331230878829956,0.5298088192939758,0.4063444435596466,2.4827733039855957,1.4522477388381958,0,0.21641894802451134
45,0.02932342328131199,0.003073112340644002,0.05941634997725487,0.11981561034917831,8.31938648223877,0.039118070155382156,0.33278971910476685,0.529046893119812,0.40625718235969543,2.4750375747680664,1.4492840766906738,0,0.21162849594838917
46,0.02786576934158802,0.002929051173850894,0.05800271034240723,0.11765105277299881,7.990070819854736,0.03889039158821106,0.3323776125907898,0.5282208919525146,0.40615132451057434,2.466360569000244,1.4459338188171387,0,0.20644858363084495
47,0.026575788855552673,0.0027903530281037092,0.056540459394454956,0.11546363681554794,7.689057350158691,0.038667574524879456,0.3318954110145569,0.5273393988609314,0.4060286283493042,2.4568629264831543,1.4422427415847778,0,0.20137023809365928
48,0.025373877957463264,0.0026585289742797613,0.055254802107810974,0.11353757232427597,7.412174701690674,0.038449857383966446,0.3313513994216919,0.5264102816581726,0.40589070320129395,2.4466567039489746,1.4382541179656982,0,0.19682478136382997
49,0.024176770821213722,0.002534849103540182,0.05418180674314499,0.1120821014046669,7.147373676300049,0.03823741897940636,0.33075380325317383,0.5254409313201904,0.4057391881942749,2.435849189758301,1.4340097904205322,0,0.1929755280725658
50,0.022991953417658806,0.002420959761366248,0.05313250795006752,0.11118324846029282,6.890076160430908,0.03803040087223053,0.33011123538017273,0.5244385600090027,0.4055761396884918,2.424548864364624,1.429551601409912,0,0.1897286695893854
51,0.021869618445634842,0.002317402744665742,0.05191412195563316,0.11076930910348892,6.641997814178467,0.03782886266708374,0.32943302392959595,0.5234108567237854,0.4054033160209656,2.4128708839416504,1.4249255657196045,0,0.18687045224942267
52,0.020843107253313065,0.0022221750114113092,0.05056733265519142,0.11060993373394012,6.408717632293701,0.03763283044099808,0.3287292420864105,0.5223655104637146,0.4052230417728424,2.4009346961975098,1.4201792478561401,0,0.18424254865385592
53,0.01987840048968792,0.002131596440449357,0.04935118183493614,0.11037379503250122,6.190525531768799,0.03744225576519966,0.3280099332332611,0.5213102102279663,0.40503764152526855,2.38885760307312,1.4153605699539185,0,0.18173497379757464
54,0.018890339881181717,0.002043296117335558,0.04846711456775665,0.10974926501512527,5.97664737701416,0.03725710138678551,0.3272843360900879,0.5202520489692688,0.4048490524291992,2.376748561859131,1.4105141162872314,0,0.1791500155813992
55,0.017872527241706848,0.001958392793312669,0.047812748700380325,0.1085788682103157,5.761090278625488,0.03707732632756233,0.32655996084213257,0.519196629524231,0.40465933084487915,2.3646931648254395,1.4056751728057861,0,0.17622253694571555
56,0.01690327562391758,0.0018803144339472055,0.04707357659935951,0.10692176222801208,5.547419548034668,0.03690285608172417,0.3258422017097473,0.5181482434272766,0.4044695198535919,2.352755546569824,1.4008703231811523,0,0.17277892888523638
