Data Loss,PSO Loss,Initial Loss,Total Loss
0.07016045600175858,0.019260650500655174,0.024119272828102112,0.11354038119316101
0.05362796038389206,0.01694594696164131,0.015688106417655945,0.08626201748847961
0.040924977511167526,0.01521647535264492,0.009629991836845875,0.0657714456319809
0.029929347336292267,0.013444586656987667,0.005745036993175745,0.049118973314762115
0.02122119814157486,0.011917348019778728,0.003339761169627309,0.03647830709815025
0.01510098110884428,0.01076264027506113,0.0019581946544349194,0.027821816504001617
0.0108792120590806,0.009858890436589718,0.0011950612533837557,0.021933164447546005
0.007861163467168808,0.009095589630305767,0.0007686181925237179,0.017725372686982155
0.005677927751094103,0.008428724482655525,0.0005214600823819637,0.014628112316131592
0.00411427253857255,0.007836787961423397,0.0003718626976478845,0.012322924099862576
0.003004778176546097,0.007302711717784405,0.0002771775471046567,0.010584667325019836
0.00221874937415123,0.00681294547393918,0.00021445674065034837,0.009246150963008404
0.0016595544293522835,0.006357944570481777,0.00017096019291784614,0.0081884590908885
0.0012592837447300553,0.005931496620178223,0.00013942710938863456,0.0073302071541547775
0.0009711303864605725,0.00552971800789237,0.00011562080180738121,0.006616469472646713
0.000762712792493403,0.00515018543228507,9.703759860713035e-05,0.006009935867041349
0.0006112125120125711,0.004791415296494961,8.211909153033048e-05,0.005484746769070625
0.0005002149264328182,0.004452461376786232,6.988290988374501e-05,0.0050225588493049145
0.0004177565861027688,0.004132707137614489,5.966976095805876e-05,0.004610133357346058
0.00035516079515218735,0.0038316035643219948,5.109062112751417e-05,0.004237854853272438
0.00030623949714936316,0.003548708278685808,4.3813022784888744e-05,0.0038987607695162296
0.0002667460066732019,0.0032835155725479126,3.7579531635856256e-05,0.0035878410562872887
0.00023964865249581635,0.00300030829384923,6.976144504733384e-05,0.003309718333184719
0.00020613597007468343,0.0028040932957082987,2.773952110146638e-05,0.0030379686504602432
0.00018178709433414042,0.002591388765722513,2.1419649783638306e-05,0.00279459566809237
0.00016151717863976955,0.0023866354022175074,2.1315810954547487e-05,0.0025694684591144323
0.00014306088269222528,0.002200900809839368,1.7491192920715548e-05,0.002361452905461192
0.00012662851077038795,0.0020288927480578423,1.348324258287903e-05,0.0021690044086426497
0.00011265805369475856,0.0018656079191714525,1.276667808269849e-05,0.001991032622754574
9.990285616368055e-05,0.0017165843164548278,1.0220102922176011e-05,0.001826707273721695
8.889704622561112e-05,0.0015765951247885823,9.226899237546604e-06,0.0016747190384194255
7.894355803728104e-05,0.0014483126578852534,7.430171081068693e-06,0.0015346864238381386
7.037307659629732e-05,0.001328231650404632,6.729366305080475e-06,0.0014053341001272202
6.24719905317761e-05,0.001218738965690136,4.839819666813128e-06,0.001286050770431757
5.598067582468502e-05,0.0011151885846629739,4.898677161691012e-06,0.0011760678607970476
5.0151000323239714e-05,0.0010200218530371785,4.7685698518762365e-06,0.001074941479600966
4.48482132924255e-05,0.0009334200876764953,3.505511358525837e-06,0.0009817738318815827
4.045623427373357e-05,0.0008520209812559187,3.8119837881822605e-06,0.0008962891879491508
3.626523903221823e-05,0.0007788951625116169,2.392861460975837e-06,0.0008175532566383481
3.279519660281949e-05,0.0007104325341060758,2.21477080231125e-06,0.0007454424630850554
2.96944344881922e-05,0.0006479196017608047,1.5671944311179686e-06,0.0006791811902076006
2.7066469556302764e-05,0.0005901426775380969,1.528725533717079e-06,0.0006187378312461078
2.477100679243449e-05,0.0005372012965381145,1.2772194395438419e-06,0.0005632495158351958
2.2212490875972435e-05,0.0004915937315672636,1.0898926205982207e-09,0.0005138073465786874
2.0993304133298807e-05,0.00044424927909858525,9.068108397514152e-07,0.00046614938764832914
1.9153105313307606e-05,0.0004049912968184799,8.040509413831387e-08,0.0004242248251102865
1.814165079849772e-05,0.0003664413234218955,6.379103751896764e-07,0.0003852208610624075
1.7077232769224793e-05,0.0003320650721434504,1.0795833986776415e-06,0.00035022187512367964
1.5994966815924272e-05,0.00030167822842486203,4.496927772379422e-07,0.0003181228821631521
1.4802832083660178e-05,0.00027632471756078303,1.106852096199873e-06,0.0002922343846876174
