Data Loss,Collocation Loss,Total Loss
0.4870704710483551,0.4595048427581787,0.9465752840042114
0.4212838113307953,0.4145108759403229,0.8357946872711182
0.3663221597671509,0.3768687844276428,0.7431909441947937
0.3207891583442688,0.33646056056022644,0.6572496891021729
0.27379339933395386,0.28928592801094055,0.5630793571472168
0.22242537140846252,0.23675790429115295,0.4591832756996155
0.169343501329422,0.1817832589149475,0.3511267602443695
0.11919083446264267,0.12872754037380219,0.24791836738586426
0.0774378851056099,0.08411451429128647,0.16155239939689636
0.04840541258454323,0.05300724133849144,0.10141265392303467
0.03222054988145828,0.03564411774277687,0.06786467134952545
0.02503281831741333,0.027917152270674706,0.052949972450733185
0.022360021248459816,0.02502651885151863,0.047386541962623596
0.02137264609336853,0.02395026944577694,0.04532291740179062
0.020843131467700005,0.023395318537950516,0.04423844814300537
0.02031737007200718,0.022939283400774002,0.04325665533542633
0.019549667835235596,0.022501744329929352,0.04205141216516495
0.018526479601860046,0.0220533087849617,0.04057978838682175
0.01739431545138359,0.021610992029309273,0.03900530934333801
0.01631077565252781,0.02124447375535965,0.03755524754524231
0.015393252484500408,0.020976945757865906,0.03637019917368889
0.014677098952233791,0.020780839025974274,0.03545793890953064
0.01413835771381855,0.02059834450483322,0.03473670035600662
0.013725640252232552,0.0203842930495739,0.0341099351644516
0.01338720042258501,0.020123669877648354,0.03351087123155594
0.013081233017146587,0.01982557214796543,0.032906804233789444
0.012779450975358486,0.01950654946267605,0.03228599950671196
0.012468135915696621,0.019175434485077858,0.031643569469451904
0.012143881060183048,0.018828917294740677,0.03097279742360115
0.011806407943367958,0.01845596916973591,0.030262377113103867
0.011453522369265556,0.01804501935839653,0.029498541727662086
0.011081555858254433,0.01758924126625061,0.028670797124505043
0.010687894187867641,0.01709045097231865,0.027778346091508865
0.010272949002683163,0.016560573130846024,0.02683352306485176
0.009839470498263836,0.016019154340028763,0.025858625769615173
0.009389451704919338,0.015487940050661564,0.024877391755580902
0.008919366635382175,0.014984600245952606,0.023903965950012207
0.00840756855905056,0.014516902156174183,0.022924471646547318
0.00778338685631752,0.014066862873733044,0.02185025066137314
0.006985589396208525,0.013600001111626625,0.020585590973496437
0.0062566795386374,0.013139870017766953,0.019396549090743065
0.005739702843129635,0.012729317881166935,0.01846902072429657
0.0053131356835365295,0.012392908334732056,0.017706044018268585
0.004910689778625965,0.012113893404603004,0.017024584114551544
0.004508403595536947,0.011863802559673786,0.016372205689549446
0.004076214041560888,0.011655309237539768,0.01573152281343937
0.0037414461839944124,0.011385793797671795,0.015127239748835564
0.0034092532005161047,0.011162690818309784,0.014571944251656532
0.00325556518509984,0.010814500972628593,0.014070065692067146
0.00288382894359529,0.010700497776269913,0.013584326952695847
